Date,Open,High,Low,Close,Adj Close,Volume
24-01-2022,74.420303,74.742699,74.316101,74.4132,74.4132,0
25-01-2022,74.644897,74.834801,74.538498,74.644798,74.644798,0
26-01-2022,74.779999,75.001503,74.685997,74.779999,74.779999,0
27-01-2022,74.902298,75.319099,74.902298,74.894997,74.894997,0
28-01-2022,75.209297,75.366997,74.879097,75.209297,75.209297,0
31-01-2022,75.046097,75.188797,74.590202,75.039001,75.039001,0
01-02-2022,74.555702,74.862503,74.4328,74.555801,74.555801,0
02-02-2022,74.744904,75.004097,74.647797,74.745499,74.745499,0
03-02-2022,74.814796,74.934502,74.634201,74.822403,74.822403,0
04-02-2022,74.643898,74.928001,74.585098,74.643898,74.643898,0
07-02-2022,74.646202,74.784897,74.539001,74.642197,74.642197,0
08-02-2022,74.656601,74.794502,74.577904,74.658302,74.658302,0
09-02-2022,74.695503,74.944901,74.6185,74.695198,74.695198,0
10-02-2022,74.808998,75.286003,74.762001,74.808899,74.808899,0
11-02-2022,75.538399,75.539299,75.094002,75.538399,75.538399,0
14-02-2022,75.642899,75.703796,75.380302,75.341003,75.341003,0
15-02-2022,75.685402,75.727203,75.214996,75.685402,75.685402,0
16-02-2022,75.174797,75.291298,74.964996,75.174797,75.174797,0
17-02-2022,75.0495,75.303001,74.946297,75.042,75.042,0
18-02-2022,75.069801,75.269501,74.481003,75.063004,75.063004,0
21-02-2022,74.686897,74.726501,74.352997,74.682404,74.682404,0
22-02-2022,74.523804,74.992401,74.523804,74.516998,74.516998,0
23-02-2022,74.623001,74.859001,74.5,74.623001,74.623001,0
